year,month,pax_D,seats_D,flights_D,avg_fare_D,pax_I,LF_D,LF_I,seats_I,flights_I,avg_fare_I,competitors_price_D,competitors_price_I,month_rank
2015,October,120000,194000,890,48,102000,61.9,76.0,184000,850,82,31.80,47.70,7
2015,November,104000,174000,780,46,89000,59.6,72.0,164000,750,79,29.92,44.88,5
2015,December,97000,164000,740,44,81000,59.0,66.0,154000,710,76,28.60,42.90,8
2016,January,83000,136000,620,41,51000,61.0,55.0,136000,490,71,24.60,36.90,12
2016,February,87000,139000,640,43,53000,62.6,57.0,138000,500,74,25.28,37.92,11
2016,March,96000,157000,700,45,72000,61.1,60.0,147000,580,78,27.80,41.70,10
2016,April,109000,167000,870,48,85000,65.0,69.0,157000,700,81,30.48,45.72,9
2016,May,127000,187000,920,50,98000,68.0,75.0,177000,820,84,32.80,49.20,6
2016,June,146000,207000,1050,52,112000,70.4,80.0,197000,940,88,34.88,52.32,4
2016,July,164000,222000,1120,54,124000,73.9,83.0,212000,1020,91,36.32,54.48,3
2016,August,181000,247000,1220,51,138000,73.2,85.0,237000,1120,95,37.84,56.76,1
2016,September,138000,217000,1020,53,117000,64.1,81.0,207000,980,87,34.20,51.30,2
2016,October,122000,197000,900,49,104000,62.0,77.0,187000,860,83,32.20,48.30,7
2016,November,106000,177000,790,47,91000,59.7,73.0,167000,760,80,30.32,45.48,5
2016,December,99000,167000,750,45,83000,59.1,67.0,157000,720,77,29.00,43.50,8
2017,January,189500,328000,1923,25,154200,58,47,295000,1705,68,35.80,53.70,10
2017,February,203800,289400,1765,38,210500,70,73,268000,1298,60,26.12,39.18,12
2017,March,186200,326500,1955,30,229700,57,63,358000,2450,72,42.00,63.00,11
2017,April,258300,398000,3680,53,302100,65,68,453000,3120,88,56.80,85.20,9
2017,May,312400,575200,3150,52,515200,54,84,562000,3920,82,53.00,79.50,6
2017,June,495200,558900,5520,41,498500,89,62,815000,4870,95,48.00,72.00,4
2017,July,438600,615000,6240,48,798600,71,82,965000,3930,158,59.20,88.80,3
2017,August,567800,705000,4300,72,619200,81,72,835000,3960,112,55.20,82.80,1
2017,September,368500,520000,3640,68,726400,71,93,745000,5130,148,51.00,76.50,2
2017,October,310200,535000,4410,59,501300,58,76,685000,3220,97,50.00,75.00,7
2017,November,333700,435000,3640,31,522100,77,93,550000,2560,85,41.20,61.80,5
2017,December,316400,365000,2500,32,503200,87,82,635000,2540,130,36.40,54.60,8
2018,January,198975,344400,2019,26,161910,58,47,309750,1790,69,37.60,56.40,10
2018,February,214000,303870,1853,40,221025,70,73,281400,1363,63,27.43,41.14,12
2018,March,195510,342825,2053,31,241185,57,63,375900,2573,76,44.10,66.15,11
2018,April,271215,417900,3864,55,317205,65,68,475650,3276,92,59.64,89.46,9
2018,May,328020,603960,3308,54,540960,54,84,590100,4116,86,55.65,83.48,6
2018,June,519960,586845,5796,43,523425,89,62,855750,5114,100,50.40,75.60,4
2018,July,460530,645750,6552,50,838530,71,82,1013250,4127,166,62.16,93.24,3
2018,August,596190,740250,4515,76,650160,81,72,876750,4158,118,57.96,86.94,1
2018,September,386925,546000,3822,71,762720,71,93,782250,5387,155,53.55,80.33,2
2018,October,325710,561750,4631,62,526365,58,76,719250,3381,102,52.50,78.75,7
2018,November,350385,456750,3822,33,548205,77,93,577500,2688,89,43.26,64.89,5
2018,December,332220,383250,2625,34,528360,87,82,666750,2667,137,38.22,57.33,8
2019,January,208924,361620,2120,27,170006,58,47,325238,1879,72,39.48,59.22,10
2019,February,224700,319064,1946,42,232076,70,73,295470,1431,66,28.80,43.20,12
2019,March,205286,359966,2156,33,253244,57,63,394695,2701,80,46.30,69.46,11
2019,April,284776,438795,4057,58,333065,65,68,499433,3440,97,62.62,93.94,9
2019,May,344421,634158,3473,57,567958,54,84,619605,4322,90,58.43,87.65,6
2019,June,545958,616187,6086,45,549597,89,62,898538,5370,105,52.92,79.38,4
2019,July,483556,678038,6879,53,880457,71,82,1063913,4333,174,65.27,97.90,3
2019,August,625999,777263,4741,80,682668,81,72,920588,4366,124,60.86,91.29,1
2019,September,406271,573300,4013,75,800856,71,93,821363,5656,163,56.23,84.34,2
2019,October,341996,589838,4862,65,552683,58,76,755213,3550,107,55.12,82.69,7
2019,November,367904,479588,4013,35,575615,77,93,606375,2822,93,45.42,68.14,5
2019,December,348831,402413,2756,36,554784,87,82,700088,2800,144,40.13,60.20,8
2020,January,146803,274831,1611,30,71403,53,26,227869,1429,75,31.58,47.38,10
2020,February,161964,242488,1478,45,107544,67,44,214376,1137,70,23.04,34.56,12
2020,March,136400,251965,1709,35,83976,54,33,283088,1891,78,37.04,55.57,11
2020,April,85430,333447,3086,60,44730,26,13,349603,2408,95,50.10,75.15,9
2020,May,137769,443131,2516,65,201769,31,46,433723,3026,85,46.74,70.12,6
2020,June,327979,492950,4260,50,219839,67,45,628977,3759,110,42.34,63.51,4
2020,July,338845,542431,5503,60,350247,62,65,745739,3033,165,52.22,78.32,3
2020,August,438754,621810,3793,85,302754,71,49,644471,3493,120,48.69,73.03,1
2020,September,243515,445640,3210,80,355315,55,80,575954,3958,155,44.98,67.48,2
2020,October,239354,471870,3898,70,244754,51,52,528649,2485,100,44.10,66.15,7
2020,November,257728,335487,2860,40,257728,77,77,424510,1975,88,36.34,54.51,5
2020,December,209062,322331,2204,40,245062,65,76,476062,2128,135,32.10,48.16,8
2021,January,168857,296817,1740,28,102857,57,35,245861,1505,70,28.43,42.64,10
2021,February,186259,261887,1598,40,154259,71,59,231526,1228,65,24.19,36.29,12
2021,March,163820,272122,1845,32,151820,60,56,305734,2042,75,38.89,58.33,11
2021,April,213575,360122,2775,55,183575,59,51,377523,2592,90,52.52,78.79,9
2021,May,275493,478633,2733,60,301493,58,63,476633,3332,80,49.08,73.63,6
2021,June,458879,532387,4527,48,375879,86,59,659387,4132,115,50.40,75.60,4
2021,July,440862,585812,4953,55,645862,75,75,819812,3493,160,57.46,86.18,3
2021,August,526862,671755,4100,80,426862,78,54,696755,3920,125,53.63,80.45,1
2021,September,341862,481289,3452,75,461862,71,77,661289,4542,150,50.24,75.37,2
2021,October,287862,509620,4098,65,301862,57,59,569620,2678,105,46.20,69.30,7
2021,November,306862,362325,3085,38,306862,85,85,458325,2138,90,38.17,57.26,5
2021,December,240862,348117,2385,42,280862,69,67,517117,2385,140,33.71,50.57,8
2022,January,241806,396119,2290,27,195840,61.0,52.0,378728,1811,72,41.25,61.88,10
2022,February,259142,311571,2125,42,257087,83.0,84.0,306746,1466,64,28.48,42.72,12
2022,March,236888,351971,2383,34,279845,67.0,68.0,409904,2804,77,48.13,72.20,11
2022,April,322530,453619,4267,57,368569,71.0,71.0,517834,3567,93,67.00,100.50,9
2022,May,398151,639227,3653,56,628694,62.0,98.0,642911,4479,88,62.56,93.83,6
2022,June,628839,634278,6403,45,609085,99.0,65.0,935143,5567,100,54.18,81.26,4
2022,July,556013,698645,7247,52,975589,80.0,88.0,1102983,4487,172,68.91,103.37,3
2022,August,721080,805203,4990,76,755779,90.0,79.0,958851,4526,117,65.13,97.70,1
2022,September,468523,591520,4225,72,887263,79.0,100.0,854483,5868,161,60.70,91.04,2
2022,October,394290,607754,5120,63,611976,65.0,78.0,786605,3678,102,59.73,89.60,7
2022,November,424447,495148,4227,35,637390,86.0,100.0,628541,2929,91,47.36,71.03,5
2022,December,402476,414573,2898,36,614346,97.0,84.0,727198,2903,137,42.40,63.60,8
2023,January,381469,413411,2804,31,438622,92.0,62.0,708710,2823,79,31.27,46.91,10
2023,February,269589,417798,2536,47,406832,65.0,65.0,624970,3617,110,33.20,49.80,12
2023,March,324515,490391,2931,33,633102,66.0,88.0,720477,2861,86,50.02,75.04,11
2023,April,399150,518028,5031,42,730169,77.0,85.0,859563,4952,152,46.84,70.27,9
2023,May,482747,716452,6094,43,621514,67.0,65.0,952864,5559,99,55.04,82.57,6
2023,June,563597,832468,7428,48,751690,68.0,78.0,966896,6546,154,61.89,92.83,4
2023,July,639996,782646,5524,78,1132441,82.0,91.0,1251156,4969,167,54.78,82.16,3
2023,August,630952,899935,5498,52,861456,70.0,80.0,1070921,4978,113,66.49,99.73,1
2023,September,748278,696133,7038,73,782626,100.0,79.0,993247,6756,109,56.62,84.94,2
2023,October,472688,709673,4044,41,698702,67.0,68.0,1034795,4193,148,58.18,87.26,7
2023,November,480392,539643,4478,54,544980,89.0,77.0,710866,4911,86,43.84,65.77,5
2023,December,347496,530767,4526,56,689229,65.0,99.0,693145,3264,90,44.54,66.81,8







